City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
13,Bathsheba,BB,80.6,13.22,-59.52,Atlantis Hotel
22,Hambantota,LK,80.6,6.12,81.12,Bungalow 63
27,Saint Anthony,US,81.0,45.02,-93.22,Holiday Inn Express Roseville-St. Paul
28,Marsh Harbour,BS,85.24,26.54,-77.06,Abaco Beach Resort
36,Pedernales,DO,81.73,18.04,-71.74,Hotel Costa Marina
37,Ponta Do Sol,PT,75.2,32.67,-17.1,Hotel do Campo
39,Progreso,MX,75.99,21.28,-89.67,Playa Linda Hotel
44,Cockburn Town,TC,84.11,21.46,-71.14,Osprey Beach Hotel
45,Bandarbeyla,SO,75.36,9.49,50.81,REER XOOSHLE GROUP
49,Los Llanos De Aridane,ES,79.0,28.66,-17.92,Valle Aridane
55,Lakewood,US,82.99,39.7,-105.08,"Motel 6 Lakewood, CO - Denver"
57,Bud,US,75.0,39.45,-86.18,Madsion Scouts Camp
58,Georgetown,MY,84.2,5.41,100.34,Cititel Penang
59,Khambhat,IN,77.0,22.3,72.62,Anand
60,Dwarka,IN,83.1,22.24,68.97,Hotel Narayan Avezika Comfort
64,Portobelo,PA,80.6,9.55,-79.65,La Finca
65,Laurel,US,75.99,39.1,-76.85,Days Inn & Suites by Wyndham Laurel Near Fort Meade
72,Umm Kaddadah,SD,78.87,13.6,26.69,
76,Tanout,NE,83.34,14.97,8.89,
82,Wattegama,LK,80.6,6.8,81.48,
87,Bhainsa,IN,79.0,26.95,76.9,33 केवी सब स्टेशन मन्डेरू
93,Kalmunai,LK,81.43,7.42,81.82,VS Villa
95,Porbandar,IN,81.88,21.64,69.61,Lords Inn Porbandar
96,Kanadukathan,IN,80.6,10.18,78.78,Chettinadu Court
97,Elizabeth City,US,80.6,36.29,-76.25,Hampton Inn Elizabeth City
99,Salalah,OM,75.2,17.02,54.09,HAMDAN PLAZA HOTEL
101,San Andres,CO,80.6,12.58,-81.7,Hotel Arena Blanca
106,Dingle,PH,85.57,11.0,122.67,Camp Pasica
107,Hithadhoo,MV,82.31,-0.6,73.08,Scoop Guest House
118,Pizarro,CO,76.84,4.95,-77.37,"Playa Pizarro, Bajo Baudó, Chocó, Colombia"
122,Acarau,BR,77.13,-2.89,-40.12,castelo pizzaria
123,Sao Filipe,CV,79.09,14.9,-24.5,Tortuga B&B
