,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Beloha,-25.17,45.05,64.6,70,0,7.78,MG,2020-08-24 02:28:48
1,Walvis Bay,-22.96,14.51,54.0,93,0,6.93,NA,2020-08-24 02:28:49
2,Abha,18.22,42.51,71.6,56,59,4.18,SA,2020-08-24 02:28:49
3,Jamestown,42.1,-79.24,69.01,93,1,4.7,US,2020-08-24 02:28:49
4,Traverse City,44.76,-85.62,73.4,88,40,2.66,US,2020-08-24 02:27:04
5,Dire,12.28,-10.97,72.27,93,43,2.48,ML,2020-08-24 02:28:50
6,Coihaique,-45.58,-72.07,33.8,95,83,4.7,CL,2020-08-24 02:24:17
7,Lixourion,38.2,20.43,71.6,68,0,4.29,GR,2020-08-24 02:28:50
8,Mar Del Plata,-38.0,-57.56,51.01,81,70,11.41,AR,2020-08-24 02:28:50
9,Nivala,63.92,24.97,52.0,94,85,1.01,FI,2020-08-24 02:28:51
10,Dombarovskiy,50.76,59.54,55.69,81,0,9.57,RU,2020-08-24 02:28:51
11,Dikson,73.51,80.55,45.91,81,0,12.44,RU,2020-08-24 02:23:53
12,Havre-Saint-Pierre,50.23,-63.6,53.6,93,90,10.29,CA,2020-08-24 02:24:33
13,Bathsheba,13.22,-59.52,80.6,83,40,8.05,BB,2020-08-24 02:28:52
14,Port Alfred,-33.59,26.89,57.45,81,100,10.22,ZA,2020-08-24 02:28:52
15,Pangody,65.85,74.49,55.24,81,100,10.13,RU,2020-08-24 02:28:53
16,Arraial Do Cabo,-22.97,-42.03,67.17,63,3,9.37,BR,2020-08-24 02:24:47
17,Ozinki,51.18,49.68,56.43,79,0,7.63,RU,2020-08-24 02:24:03
18,Vieste,41.88,16.18,73.4,78,5,1.12,IT,2020-08-24 02:28:53
19,Abu Samrah,35.3,37.18,65.82,47,0,2.57,SY,2020-08-24 02:28:53
20,Hermanus,-34.42,19.23,55.0,96,100,6.46,ZA,2020-08-24 02:28:54
21,Busselton,-33.65,115.33,63.0,53,7,4.07,AU,2020-08-24 02:28:54
22,Hambantota,6.12,81.12,80.6,94,20,5.82,LK,2020-08-24 02:28:54
23,Pinega,64.7,43.39,59.2,93,100,7.43,RU,2020-08-24 02:28:54
24,Valle Del Guamuez,0.45,-76.92,69.8,87,10,1.97,CO,2020-08-24 02:28:55
25,Ushuaia,-54.8,-68.3,32.0,93,40,6.93,AR,2020-08-24 02:28:55
26,Cape Town,-33.93,18.42,57.99,93,20,11.41,ZA,2020-08-24 02:24:11
27,Saint Anthony,45.02,-93.22,81.0,69,1,3.65,US,2020-08-24 02:27:07
28,Marsh Harbour,26.54,-77.06,85.24,76,1,24.83,BS,2020-08-24 02:28:55
29,Ostrovnoy,68.05,39.51,55.29,89,6,18.57,RU,2020-08-24 02:28:56
30,San Luis,-33.3,-66.34,52.16,40,0,4.94,AR,2020-08-24 02:28:56
31,Zemio,5.03,25.14,67.08,97,100,1.5,CF,2020-08-24 02:28:56
32,Boras,57.72,12.94,55.4,82,20,10.29,SE,2020-08-24 02:28:56
33,Punta Arenas,-53.15,-70.92,33.8,86,20,18.34,CL,2020-08-24 02:28:56
34,Mahebourg,-20.41,57.7,71.6,73,40,16.11,MU,2020-08-24 02:28:56
35,Qaanaaq,77.48,-69.36,36.43,89,100,1.54,GL,2020-08-24 02:28:57
36,Pedernales,18.04,-71.74,81.73,70,95,7.99,DO,2020-08-24 02:28:57
37,Ponta Do Sol,32.67,-17.1,75.2,64,20,20.8,PT,2020-08-24 02:28:57
