City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Castro,BR,2020-08-20 03:31:18,-24.79,-50.01,51.69,97,100,5.37
1,Ushuaia,AR,2020-08-20 03:31:19,-54.8,-68.3,39.2,86,75,28.86
2,Cidreira,BR,2020-08-20 03:31:19,-30.18,-50.21,50.45,74,26,11.63
3,Sadovoye,RU,2020-08-20 03:31:19,47.78,44.51,73.83,51,0,8.41
4,Ust-Ishim,RU,2020-08-20 03:31:19,57.69,71.17,54.07,93,100,4.5
5,Port Alfred,ZA,2020-08-20 03:31:20,-33.59,26.89,51.78,56,1,11.92
6,Ilulissat,GL,2020-08-20 03:31:20,69.22,-51.1,51.8,43,0,3.36
7,Jamestown,US,2020-08-20 03:31:20,42.1,-79.24,57.2,71,1,4.7
8,Coihaique,CL,2020-08-20 03:31:20,-45.58,-72.07,37.4,84,82,4.7
9,Salalah,OM,2020-08-20 03:31:21,17.02,54.09,77.0,100,90,3.36
10,Hermanus,ZA,2020-08-20 03:29:54,-34.42,19.23,46.99,93,88,10.67
11,Berlevag,NO,2020-08-20 03:31:21,70.86,29.09,51.8,76,75,5.82
12,Port Elizabeth,ZA,2020-08-20 03:27:22,-33.92,25.57,46.4,81,6,6.93
13,Touros,BR,2020-08-20 03:31:22,-5.2,-35.46,69.8,94,94,4.7
14,Bredasdorp,ZA,2020-08-20 03:31:22,-34.53,20.04,50.0,81,83,6.93
15,Mar Del Plata,AR,2020-08-20 03:29:22,-38.0,-57.56,39.0,86,40,6.93
16,Qaanaaq,GL,2020-08-20 03:31:22,77.48,-69.36,44.71,89,100,6.29
17,Corn Island,NI,2020-08-20 03:31:23,12.17,-83.04,83.05,79,2,7.92
18,Cibitoke,BI,2020-08-20 03:31:23,-2.88,29.25,67.24,52,100,1.48
19,Tucuman,AR,2020-08-20 03:31:23,-26.82,-65.22,48.2,45,94,6.93
20,Husavik,IS,2020-08-20 03:28:42,66.04,-17.34,35.6,93,0,3.36
21,Korla,CN,2020-08-20 03:26:28,41.76,86.15,83.19,24,94,12.15
22,Skibbereen,IE,2020-08-20 03:31:24,51.55,-9.27,59.0,87,75,24.16
23,Florida,US,2020-08-20 03:30:08,28.75,-82.5,77.0,83,1,3.36
24,Nador,MA,2020-08-20 03:31:24,35.17,-2.93,73.4,94,20,5.82
25,Toul,FR,2020-08-20 03:31:24,48.67,5.92,69.8,82,53,9.17
26,Grao Mogol,BR,2020-08-20 03:31:25,-16.56,-42.89,60.08,80,0,1.88
27,Dikson,RU,2020-08-20 03:31:25,73.51,80.55,51.03,65,0,15.77
28,Cape Town,ZA,2020-08-20 03:31:26,-33.93,18.42,54.0,81,75,5.82
29,Hithadhoo,MV,2020-08-20 03:31:23,-0.6,73.08,83.77,66,81,3.8
30,Cap Malheureux,MU,2020-08-20 03:31:26,-19.98,57.61,66.99,69,12,4.0
31,Grand Gaube,MU,2020-08-20 03:31:26,-20.01,57.66,66.99,69,11,4.0
32,Wukari,NG,2020-08-20 03:31:27,7.85,9.78,73.17,94,100,7.54
33,Bambous Virieux,MU,2020-08-20 03:31:27,-20.34,57.76,68.0,82,75,4.7
34,Upernavik,GL,2020-08-20 03:31:27,72.79,-56.15,47.82,72,21,3.44
35,Natal,BR,2020-08-20 03:26:46,-5.79,-35.21,71.6,88,98,5.82
36,Victoria,HK,2020-08-20 03:30:54,22.29,114.16,86.0,77,73,13.0
37,London,GB,2020-08-20 03:26:49,51.51,-0.13,69.01,71,99,12.62
38,Pisco,PE,2020-08-20 03:31:28,-13.7,-76.22,60.01,82,21,5.82
39,Vila Franca Do Campo,PT,2020-08-20 03:31:29,37.72,-25.43,66.2,72,20,6.93
40,Nanortalik,GL,2020-08-20 03:31:29,60.14,-45.24,45.73,76,1,10.8
41,Narsaq,GL,2020-08-20 03:31:29,60.92,-46.05,50.0,66,11,4.7
42,Itarema,BR,2020-08-20 03:31:30,-2.92,-39.92,74.95,87,47,9.98
43,Necochea,AR,2020-08-20 03:31:30,-38.55,-58.74,37.99,2,79,1.01
44,Semey,KZ,2020-08-20 03:31:30,50.41,80.23,66.2,48,9,2.24
45,Lodja,CD,2020-08-20 03:31:30,-3.48,23.43,72.55,89,59,2.75
46,Lucapa,AO,2020-08-20 03:31:31,-8.42,20.74,67.53,63,43,1.74
47,Tambo,PE,2020-08-20 03:31:31,-14.8,-73.92,31.3,88,18,1.34
48,Huarmey,PE,2020-08-20 03:31:31,-10.07,-78.15,60.24,84,59,8.12
49,Arraial Do Cabo,BR,2020-08-20 03:31:32,-22.97,-42.03,71.31,91,0,19.64
50,Anna Paulowna,NL,2020-08-20 03:31:32,52.86,4.83,68.0,88,75,12.75
51,Tasiilaq,GL,2020-08-20 03:31:32,65.61,-37.64,44.6,70,0,8.05
52,Bathsheba,BB,2020-08-20 03:31:33,13.22,-59.52,80.6,88,20,12.75
53,Georgetown,MY,2020-08-20 03:31:33,5.41,100.34,87.8,74,40,2.24
54,Ikryanoye,RU,2020-08-20 03:31:33,46.09,47.73,66.2,88,8,4.47
55,Clyde River,CA,2020-08-20 03:31:33,70.47,-68.59,44.6,93,1,3.36
56,Vestmannaeyjar,IS,2020-08-20 03:31:34,63.44,-20.27,48.34,82,100,11.01
57,Kampene,CD,2020-08-20 03:31:34,-3.6,26.67,69.31,97,97,1.92
58,Hambantota,LK,2020-08-20 03:31:34,6.12,81.12,86.0,79,20,12.75
59,Lovozero,RU,2020-08-20 03:31:34,68.0,35.01,51.64,81,64,5.93
60,Busselton,AU,2020-08-20 03:31:35,-33.65,115.33,57.0,84,59,10.45
61,Kruisfontein,ZA,2020-08-20 03:31:35,-34.0,24.73,46.67,57,8,8.3
62,Stornoway,GB,2020-08-20 03:31:35,58.21,-6.39,61.0,87,99,17.22
63,Namibe,AO,2020-08-20 03:31:35,-15.2,12.15,62.31,89,48,2.24
64,Muravlenko,RU,2020-08-20 03:31:36,63.79,74.52,60.93,73,0,10.71
65,Sao Filipe,CV,2020-08-20 03:31:36,14.9,-24.5,77.07,82,22,11.39
66,Honningsvag,NO,2020-08-20 03:31:36,70.98,25.97,51.8,76,75,5.82
67,Albany,US,2020-08-20 03:30:14,42.6,-73.97,64.0,51,3,5.99
68,Bongandanga,CD,2020-08-20 03:31:36,1.5,21.05,70.11,98,93,1.01
69,Tsabong,BW,2020-08-20 03:31:37,-26.02,22.4,33.44,82,0,5.99
70,Rincon,US,2020-08-20 03:31:37,32.3,-81.24,73.4,94,20,3.49
71,Buncrana,IE,2020-08-20 03:31:37,55.13,-7.45,56.1,86,93,35.52
72,Hofn,IS,2020-08-20 03:31:37,64.25,-15.21,46.81,71,71,13.2
73,Roald,NO,2020-08-20 03:31:38,62.58,6.13,57.2,100,87,4.7
74,Umm Lajj,SA,2020-08-20 03:31:38,25.02,37.27,87.37,49,50,6.69
75,Rottingdean,GB,2020-08-20 03:31:38,50.81,-0.06,64.99,100,98,4.0
76,Havelock,US,2020-08-20 03:31:39,34.88,-76.9,73.99,100,1,5.82
77,Cravo Norte,CO,2020-08-20 03:31:39,6.3,-70.2,76.93,92,99,4.9
78,Ponta Do Sol,PT,2020-08-20 03:31:39,32.67,-17.1,71.6,78,40,3.36
79,Beni Mazar,EG,2020-08-20 03:31:40,28.5,30.8,70.2,74,0,6.49
80,Doha,QA,2020-08-20 03:27:26,25.29,51.53,91.0,75,14,4.7
81,Punta Arenas,CL,2020-08-20 03:31:40,-53.15,-70.92,44.6,81,55,28.86
82,Novoagansk,RU,2020-08-20 03:31:40,61.94,76.66,62.38,74,30,8.88
